CREATE FUNCTION
 WARLOCK WEREWOLF
 WRONG BEHAVIOR
 ZOOLANDER FICTION
(60 rows)

      list_category      
-------------------------
 ALICE FANTASIA
 ARIZONA BANG
 BEAST HUNCHBACK
 BOUND CHEAPER
 CANDIDATE PERDITION
 CENTER DINOSAUR
 COLOR PHILADELPHIA
 CONSPIRACY SPIRIT
 CORE SUIT
 CREEPERS KANE
 CRUELTY UNFORGIVEN
 DETECTIVE VISION
 DRACULA CRYSTAL
 DYNAMITE TARZAN
 EXTRAORDINARY CONQUERER
 FROST HEAD
 GALAXY SWEETHEARTS
 GILBERT PELICAN
 GILMORE BOILED
 HOLY TADPOLE
 HOPE TOOTSIE
 HYDE DOCTOR
 IRON MOON
 ISLAND EXORCIST
 JEEPERS WEDDING
 JEOPARDY ENCINO
 JERK PAYCHECK
 JINGLE SAGEBRUSH
 LEAGUE HELLFIGHTERS
 LIGHTS DEER
 LOATHING LEGALLY
 LOVELY JINGLE
 LOVER TRUMAN
 MAGNIFICENT CHITTY
 MALKOVICH PET
 MILLION ACE
 MUSKETEERS WAIT
 OCTOBER SUBMARINE
 PAJAMA JAWBREAKER
 PATIENT SISTER
 PREJUDICE OLEANDER
 REQUIEM TYCOON
 RIGHT CRANES
 ROOTS REMEMBER
 SLING LUKE
 SNATCHERS MONTEZUMA
 SPIKING ELEMENT
 STEEL SANTA
 SUMMER SCARFACE
 TADPOLE PARK
 TIMBERLAND SKY
 TOMORROW HUSTLER
 TOWERS HURRICANE
 VOLUME HOUSE
 VOYAGE LEGALLY
 WASTELAND DIVINE
 WESTWARD SEABISCUIT
(57 rows)

      list_category      
-------------------------
 AIRPLANE SIERRA
 ANTHEM LUKE
 BRINGING HYSTERICAL
 CAPER MOTIONS
 CAT CONEHEADS
 CLOSER BANG
 CONNECTION MICROCOSMOS
 CONTROL ANTHEM
 CRAZY HOME
 DADDY PITTSBURGH
 DOOM DANCING
 DOWNHILL ENOUGH
 DYING MAKER
 ELEMENT FREDDY
 FERRIS MOTHER
 FIREBALL PHILADELPHIA
 FLINTSTONES HAPPINESS
 FRANKENSTEIN STRANGER
 FREEDOM CLEOPATRA
 GOLD RIVER
 GROUNDHOG UNCUT
 GUNFIGHT MOON
 HATE HANDICAP
 HEAVEN FREEDOM
 HEDWIG ALTER
 HURRICANE AFFAIR
 HUSTLER PARTY
 JAWS HARRY
 KNOCK WARLOCK
 LIFE TWISTED
 LION UNCUT
 LONELY ELEPHANT
 MALLRATS UNITED
 MEMENTO ZOOLANDER
 MULAN MOON
 MYSTIC TRUMAN
 OPERATION OPERATION
 PARADISE SABRINA
 PARTY KNOCK
 PERFECT GROOVE
 PINOCCHIO SIMON
 PURE RUNNER
 RUSHMORE MERMAID
 SADDLE ANTITRUST
 SATURN NAME
 SEARCHERS WAIT
 SNATCH SLIPPER
 STAGE WORLD
 STRICTLY SCARFACE
 SUBMARINE BED
 SWEDEN SHINING
 TRAINSPOTTING STRANGERS
 TRAMP OTHERS
 VALLEY PACKER
 VELVET TERMINATOR
 VERTIGO NORTHWEST
 WISDOM WORKER
 ZORRO ARK
(58 rows)

     list_category      
------------------------
 ACADEMY DINOSAUR
 ADAPTATION HOLES
 ARMY FLINTSTONES
 BEACH HEARTBREAKERS
 BED HIGHBALL
 BILL OTHERS
 BONNIE HOLOCAUST
 BROTHERHOOD BLANKET
 CAUSE DATE
 CHICKEN HELLFIGHTERS
 CIDER DESIRE
 CLERKS ANGELS
 COAST RAINBOW
 CUPBOARD SINNERS
 DANCING FEVER
 DEEP CRUSADE
 DELIVERANCE MULHOLLAND
 DOZEN LION
 DUFFEL APOCALYPSE
 EGG IGBY
 EXPENDABLE STALLION
 FRENCH HOLIDAY
 HALLOWEEN NUTS
 HARDLY ROBBERS
 HAWK CHILL
 HEAVYWEIGHTS BEAST
 HOMEWARD CIDER
 HUNTER ALTER
 INDEPENDENCE HOTEL
 INTOLERABLE INTENTIONS
 KILL BROTHERHOOD
 MADISON TRAP
 MAJESTIC FLOATS
 METAL ARMAGEDDON
 MIDSUMMER GROUNDHOG
 MIGHTY LUCK
 MODERN DORADO
 MOD SECRETARY
 NATIONAL STORY
 NEWSIES STORY
 NORTH TEQUILA
 NOTORIOUS REUNION
 PACIFIC AMISTAD
 PELICAN COMFORTS
 POCUS PULP
 PRINCESS GIANT
 QUILLS BULL
 RAIDERS ANTITRUST
 RAINBOW SHOCK
 ROAD ROXANNE
 SAGEBRUSH CLUELESS
 SECRET GROUNDHOG
 SHIP WONDERLAND
 SHOW LORD
 SMOKING BARBARELLA
 SPOILERS HELLFIGHTERS
 STREAK RIDGEMONT
 THIN SAGEBRUSH
 UNITED PILOT
 UNTOUCHABLES SUNRISE
 VILLAIN DESPERATE
 VIRGINIAN PLUTO
 WAGON JAWS
 WARS PLUTO
 WEDDING APOLLO
 WIFE TURN
 WRATH MILE
 YOUNG LANGUAGE
(68 rows)

     list_category      
------------------------
 APOLLO TEEN
 BEAUTY GREASE
 BEETHOVEN EXORCIST
 BLADE POLISH
 BRIGHT ENCOUNTERS
 BUNCH MINDS
 CHILL LUCK
 CHITTY LOCK
 CONEHEADS SMOOCHY
 CONFESSIONS MAGUIRE
 CONQUERER NUTS
 CRAFT OUTFIELD
 DALMATIONS SWEDEN
 DARKNESS WAR
 DECEIVER BETRAYED
 DESTINATION JERK
 DIARY PANIC
 EDGE KISSING
 ENCOUNTERS CURTAIN
 GOLDFINGER SENSIBILITY
 GONE TROUBLE
 GREEDY ROOTS
 HANGING DEEP
 HAROLD FRENCH
 HARRY IDAHO
 HOBBIT ALIEN
 HUNCHBACK IMPOSSIBLE
 JACKET FRISCO
 KWAI HOMEWARD
 LEBOWSKI SOLDIERS
 LIES TREATMENT
 LUCK OPUS
 MOB DUFFEL
 NECKLACE OUTBREAK
 NOTTING SPEAKEASY
 ORIENT CLOSER
 PATHS CONTROL
 PAYCHECK WAIT
 PITY BOUND
 QUEEN LUKE
 RACER EGG
 REUNION WITCHES
 ROCKY WAR
 SAINTS BRIDE
 SAVANNAH TOWN
 SCORPION APOLLO
 SEATTLE EXPECATIONS
 SEA VIRGIN
 SHOOTIST SUPERFLY
 SLACKER LIAISONS
 SOMETHING DUCK
 SPICE SORORITY
 TENENBAUMS COMMAND
 TORQUE BOUND
 TRANSLATION SUMMER
 TREATMENT JEKYLL
 UNFAITHFUL KILL
 VIETNAM SMOOCHY
 VIRGIN DAISY
 WARDROBE PHANTOM
 WEST LION
 WITCHES PANIC
(62 rows)

     list_category      
------------------------
 AFRICAN EGG
 APACHE DIVINE
 ATLANTIS CAUSE
 BAKED CLEOPATRA
 BANG KWAI
 BEDAZZLED MARRIED
 BILKO ANONYMOUS
 BLANKET BEVERLY
 BLOOD ARGONAUTS
 BLUES INSTINCT
 BRAVEHEART HUMAN
 CHASING FIGHT
 CHISUM BEHAVIOR
 CHOCOLAT HARRY
 CONFUSED CANDLES
 CONVERSATION DOWNHILL
 DATE SPEED
 DINOSAUR SECRETARY
 DUMBO LUST
 EARRING INSTINCT
 EFFECT GLADIATOR
 FEUD FROGMEN
 FINDING ANACONDA
 GABLES METROPOLIS
 GANDHI KWAI
 GLADIATOR WESTWARD
 GREASE YOUTH
 HALF OUTFIELD
 HOCUS FRIDA
 HOMICIDE PEACH
 HOUSE DYNAMITE
 HUNTING MUSKETEERS
 INDIAN LOVE
 JASON TRAP
 JEDI BENEATH
 KILLER INNOCENT
 KING EVOLUTION
 LOLITA WORLD
 LOUISIANA HARRY
 MAGUIRE APACHE
 MANCHURIAN CURTAIN
 MOVIE SHAKESPEARE
 MUSIC BOONDOCK
 NATURAL STOCK
 NETWORK PEAK
 ODDS BOOGIE
 OPPOSITE NECKLACE
 PILOT HOOSIERS
 PITTSBURGH HUNCHBACK
 PRESIDENT BANG
 PRIX UNDEFEATED
 RAGE GAMES
 RANGE MOONWALKER
 REMEMBER DIARY
 RESURRECTION SILVERADO
 ROBBERY BRIGHT
 RUSH GOODFELLAS
 SECRETS PARADISE
 SENSIBILITY REAR
 SIEGE MADRE
 SLUMS DUCK
 SOUP WISDOM
 SPARTACUS CHEAPER
 SPINAL ROCKY
 SPLASH GUMP
 SUNSET RACER
 SUPER WYOMING
 VIRTUAL SPOILERS
 WILLOW TRACY
(69 rows)

    list_category     
----------------------
 AGENT TRUMAN
 ALAMO VIDEOTAPE
 ALIEN CENTER
 ALLEY EVOLUTION
 BABY HALL
 BALLROOM MOCKINGBIRD
 BROOKLYN DESERT
 BUGSY SONG
 CALENDAR GUNFIGHT
 CATCH AMISTAD
 CHOCOLATE DUCK
 COMMAND DARLING
 COWBOY DOOM
 CROSSING DIVORCE
 CRYSTAL BREAKING
 CYCLONE FAMILY
 DANGEROUS UPTOWN
 DOUBTFIRE LABYRINTH
 EVERYONE CRAFT
 FICTION CHRISTMAS
 FRIDA SLIPPER
 GENTLEMEN STAGE
 GRAPES FURY
 GREEK EVERYONE
 HAPPINESS UNITED
 HELLFIGHTERS SIERRA
 HIGHBALL POTTER
 HOLIDAY GAMES
 HOOSIERS BIRDCAGE
 HOTEL HAPPINESS
 HUNGER ROOF
 ILLUSION AMELIE
 IMPOSSIBLE PREJUDICE
 INFORMER DOUBLE
 INNOCENT USUAL
 INTRIGUE WORST
 JET NEIGHBORS
 KANE EXORCIST
 KISS GLORY
 LOSE INCH
 LOST BIRD
 MADNESS ATTACKS
 MATRIX SNOWMAN
 MAUDE MOD
 MEET CHOCOLATE
 MIXED DOORS
 MOON BUNCH
 MULHOLLAND BEAST
 MUPPET MILE
 NEWTON LABYRINTH
 OPUS ICE
 ORANGE GRAPES
 PAST SUICIDES
 PEARL DESTINY
 PET HAUNTING
 POLLOCK DELIVERANCE
 PURPLE MOVIE
 RESERVOIR ADAPTATION
 ROCKETEER MOTHER
 SCHOOL JACKET
 SCISSORHANDS SLUMS
 SHOCK CABIN
 SHREK LICENSE
 SORORITY QUEEN
 STEPMOM DREAM
 TOWN ARK
 TRAP GUYS
 USUAL UNTOUCHABLES
 VISION TORQUE
 WAR NOTTING
 WASH HEAVENLY
 WHALE BIKINI
 WONDERFUL DROP
(73 rows)

     list_category     
-----------------------
 AUTUMN CROW
 BULWORTH COMMANDMENTS
 CANDLES GRAPES
 CHICAGO NORTH
 CREATURES SHAKESPEARE
 CURTAIN VIDEOTAPE
 DARLING BREAKING
 DAWN POND
 DAZED PUNK
 DETAILS PACKER
 DIRTY ACE
 DIVINE RESURRECTION
 DWARFS ALTER
 ENCINO ELF
 FANTASIA PARK
 FEATHERS METAL
 FEVER EMPIRE
 FIRE WOLVES
 FORWARD TEMPLE
 GATHERING CALENDAR
 GLORY TRACY
 GRINCH MASSAGE
 GRIT CLOCKWORK
 GUN BONNIE
 HAUNTING PIANIST
 HEAD STRANGER
 HUMAN GRAFFITI
 ICE CROSSING
 JERICHO MULAN
 LADYBUGS ARMAGEDDON
 LAMBS CINCINATTI
 MADRE GABLES
 MALTESE HOPE
 MARS ROMAN
 MASSACRE USUAL
 MONSOON CAUSE
 MOONSHINE CABIN
 MOONWALKER FOOL
 NAME DETECTIVE
 NIGHTMARE CHILL
 OUTBREAK DIVINE
 PANKY SUBMARINE
 PIZZA JUMANJI
 PRIVATE DROP
 PSYCHO SHRUNK
 ROOF CHAMPION
 ROUGE SQUAD
 ROXANNE REBEL
 SASSY PACKER
 SEVEN SWARM
 SLEUTH ORIENT
 SPY MILE
 STAMPEDE DISTURBING
 STATE WASTELAND
 SUIT WALLS
 TYCOON GATHERING
 VANILLA DAY
 VIDEOTAPE ARSENIC
 VOLCANO TEXAS
 WANDA CHAMBER
 WIND PHANTOM
(61 rows)

        list_category        
-----------------------------
 ACE GOLDFINGER
 AFFAIR PREJUDICE
 AIRPORT POLLOCK
 ALABAMA DEVIL
 ALI FOREVER
 ANALYZE HOOSIERS
 ANYTHING SAVANNAH
 ARABIA DOGMA
 ARACHNOPHOBIA ROLLERCOASTER
 BEHAVIOR RUNAWAY
 BOWFINGER GABLES
 CARRIE BUNCH
 COMMANDMENTS EXPRESS
 DESERT POSEIDON
 DRUMS DYNAMITE
 EGYPT TENENBAUMS
 ELEPHANT TROJAN
 FAMILY SWEET
 FIDELITY DEVIL
 FREDDY STORM
 GASLIGHT CRUSADE
 HIGH ENCINO
 JAPANESE RUN
 KARATE MOON
 KENTUCKIAN GIANT
 LADY STAGE
 LOLA AGENT
 LOVE SUICIDES
 MONTEREY LABYRINTH
 MOTIONS DETAILS
 PANIC CLUB
 PARIS WEEKEND
 PATTON INTERVIEW
 PULP BEVERLY
 REAP UNFAITHFUL
 REEF SALUTE
 ROCK INSTINCT
 ROLLERCOASTER BRINGING
 RULES HUMAN
 SIMON NORTH
 SINNERS ATLANTIS
 SLEEPING SUSPECTS
 SPIRIT FLINTSTONES
 STRANGERS GRAFFITI
 STREETCAR INTENTIONS
 SWARM GOLD
 TARZAN VIDEOTAPE
 TEMPLE ATTRACTION
 TEXAS WATCH
 TRAIN BUNCH
 TREASURE COMMAND
 UNDEFEATED DALMATIONS
 WATERSHIP FRONTIER
 WORLD LEATHERNECKS
 YENTL IDAHO
 ZHIVAGO CORE
(56 rows)

     list_category      
------------------------
 ALASKA PHANTOM
 ALONE TRIP
 AMELIE HELLFIGHTERS
 BALLOON HOMEWARD
 BANGER PINOCCHIO
 BIRCH ANTITRUST
 BIRDCAGE CASPER
 BOOGIE AMELIE
 CHAMBER ITALIAN
 CLONES PINOCCHIO
 CLUE GRAIL
 CONFIDENTIAL INTERVIEW
 DEER VIRGINIAN
 DORADO NOTTING
 DRIVING POLISH
 ELF MURDER
 ENEMY ODDS
 FREAKY POCUS
 GO PURPLE
 GREATEST NORTH
 GROSSE WONDERFUL
 HANOVER GALAXY
 HEAVENLY GUN
 HOME PITY
 IMPACT ALADDIN
 INSIDER ARIZONA
 JAWBREAKER BROOKLYN
 LEGEND JEDI
 LUCKY FLYING
 MASKED BUBBLE
 MINORITY KISS
 MONSTER SPARTACUS
 OLEANDER CLUE
 OUTFIELD MASSACRE
 PERSONAL LADYBUGS
 REBEL AIRPORT
 REDS POCUS
 ROMAN PUNK
 RUNNER MADIGAN
 SCALAWAG DUCK
 SILENCE KANE
 SONG HEDWIG
 TAXI KICK
 TELEGRAPH VOYAGE
 TERMINATOR CLUB
 UNCUT SUICIDES
 VANISHING ROCKY
 WIZARD COLDBLOODED
 WON DARES
 WORDS HUNTER
 YOUTH KICK
(51 rows)

     list_category     
-----------------------
 AMISTAD MIDSUMMER
 ANGELS LIFE
 APOCALYPSE FLAMINGOS
 ATTRACTION NEWTON
 BIRDS PERDITION
 BOULEVARD MOB
 BRANNIGAN SUNRISE
 BREAKFAST GOLDFINGER
 BREAKING HOME
 BUTCH PANTHER
 BUTTERFLY CHOCOLAT
 CHAPLIN LICENSE
 CHINATOWN GLADIATOR
 CLEOPATRA DEVIL
 CLYDE THEORY
 DAY UNFAITHFUL
 DESTINY SATURDAY
 DRAGONFLY STRANGERS
 EAGLES PANKY
 EARTH VISION
 ENDING CROWDS
 EVE RESURRECTION
 FATAL HAUNTED
 FLAMINGOS CONNECTICUT
 FLASH WARS
 FRONTIER CABIN
 GODFATHER DIARY
 HOURS RAGE
 IDAHO LOVE
 INTERVIEW LIAISONS
 JEKYLL FROGMEN
 JUMANJI BLADE
 JUNGLE CLOSER
 LOVERBOY ATTACKS
 MAIDEN HOME
 MANNEQUIN WORST
 MASK PEACH
 MINE TITANS
 MONEY HAROLD
 NUTS TIES
 OKLAHOMA JUMANJI
 PHANTOM GLORY
 PIANIST OUTFIELD
 PLATOON INSTINCT
 PLUTO OLEANDER
 REDEMPTION COMFORTS
 RIDGEMONT SUBMARINE
 RUNAWAY TENENBAUMS
 RUN PACIFIC
 SALUTE APOLLO
 SAMURAI LION
 SLEEPY JAPANESE
 STING PERSONAL
 STOCK GLASS
 TROOPERS METAL
 UNBREAKABLE KARATE
 VAMPIRE WHALE
 VANISHED GARDEN
 VARSITY TRIP
 VOICE PEACH
 WAKE JAWS
 WILD APOLLO
 WYOMING STORM
(63 rows)

    list_category     
----------------------
 ANNIE IDENTITY
 ARMAGEDDON LOST
 ATTACKS HATE
 BADMAN DAWN
 BARBARELLA STREETCAR
 BEVERLY OUTLAW
 BINGO TALENTED
 BLINDNESS GUN
 CAMELOT VACATION
 CHAINSAW UPTOWN
 CHARADE DUFFEL
 CHARIOTS CONSPIRACY
 CHEAPER CLYDE
 CINCINATTI WHISPERER
 CITIZEN SHREK
 COLDBLOODED DARLING
 CONNECTICUT TRAMP
 CROWDS TELEMARK
 DAISY MENAGERIE
 DISTURBING SCARFACE
 DIVIDE MONSTER
 DOLLS RAGE
 ENGLISH BULWORTH
 EXPRESS LONELY
 EYES DRIVING
 FIDDLER LOST
 FISH OPUS
 FRISCO FORREST
 GARDEN ISLAND
 GOLDMINE TYCOON
 GOODFELLAS SALUTE
 GRAFFITI LOVE
 GUYS FALCON
 HAMLET WISDOM
 HANKY OCTOBER
 HOLLOW JEOPARDY
 IDENTITY LOVER
 LICENSE WEEKEND
 MARRIED GO
 METROPOLIS COMA
 MOURNING PURPLE
 NEMO CAMPUS
 NONE SPIKING
 OPEN AFRICAN
 PANTHER REDS
 RAGING AIRPLANE
 RANDOM GO
 REIGN GENTLEMEN
 SILVERADO GOLDFINGER
 SOLDIERS EVOLUTION
 SPIRITED CASUALTIES
 STALLION SUNDANCE
 SUICIDES SILENCE
 SUN CONFESSIONS
 TITANS JERK
 TROJAN TOMORROW
 UNFORGIVEN ZOOLANDER
 VACATION BOONDOCK
 WEEKEND PERSONAL
 WHISPERER GIANT
 WONDERLAND CHRISTMAS
(61 rows)

       list_category       
---------------------------
 ALADDIN CALENDAR
 ANONYMOUS HUMAN
 ARTIST COLDBLOODED
 BUBBLE GROSSE
 CALIFORNIA BIRDS
 CARIBBEAN LIBERTY
 CHANCE RESURRECTION
 CONGENIALITY QUEST
 CRANES RESERVOIR
 CRUSADE HONEY
 DIVORCE SHINING
 DRIVER ANNIE
 DROP WATERFRONT
 DUDE BLINDNESS
 DURHAM PANKY
 ELIZABETH SHANE
 EVOLUTION ALTER
 EXORCIST STING
 FLATLINERS KILLER
 FLIGHT LIES
 GLEAMING JAWBREAKER
 GRACELAND DYNAMITE
 GROOVE FICTION
 GUNFIGHTER MUSSOLINI
 HOLES BRANNIGAN
 HONEY TIES
 HYSTERICAL GRAIL
 IMAGE PRINCESS
 INSTINCT AIRPORT
 JADE BUNCH
 JOON NORTHWEST
 KRAMER CHOCOLATE
 LESSON CLEOPATRA
 LIBERTY MAGNIFICENT
 LOSER HUSTLER
 MERMAID INSECTS
 MILE MULAN
 MOSQUITO ARMAGEDDON
 MOTHER OLEANDER
 MUMMY CREATURES
 MUSSOLINI SPOILERS
 NEIGHBORS CHARADE
 NORTHWEST POLISH
 NOVOCAINE FLIGHT
 PEACH INNOCENT
 PEAK FOREVER
 PERDITION FARGO
 PHILADELPHIA WIFE
 PICKUP DRIVING
 PIRATES ROXANNE
 POSEIDON FOREVER
 RECORDS ZORRO
 RIDER CADDYSHACK
 RIVER OUTLAW
 ROSES TREASURE
 SATISFACTION CONFIDENTIAL
 SATURDAY LAMBS
 SEABISCUIT PUNK
 SECRETARY ROUGE
 SENSE GREEK
 SHAKESPEARE SADDLE
 SIERRA DIVIDE
 SLIPPER FIDELITY
 SMOOCHY CONTROL
 SQUAD FISH
 STAR OPERATION
 STEERS ARMAGEDDON
 STRAIGHT HOURS
 TALENTED HOMICIDE
 TIGHTS DAWN
 TOURIST PELICAN
 TRADING PINOCCHIO
 TUXEDO MILE
 VICTORY ACADEMY
(74 rows)

      list_category      
-------------------------
 ARSENIC INDEPENDENCE
 BASIC EASY
 BIRD INDEPENDENCE
 BOILED DARES
 BOONDOCK BALLROOM
 BORN SPINAL
 BUCKET BROTHERHOOD
 CASABLANCA SUPER
 CASSIDY WYOMING
 COMA HEAD
 COMFORTS RUSH
 CONTACT ANONYMOUS
 DESPERATE TRAINSPOTTING
 DISCIPLE MOTHER
 DRUMLINE CYCLONE
 ENOUGH RAGING
 ESCAPE METROPOLIS
 EXPECATIONS NATURAL
 FACTORY DRAGON
 FELLOWSHIP AUTUMN
 FROGMEN BREAKING
 FUGITIVE MAGUIRE
 GAMES BOWFINGER
 GUMP DATE
 HAUNTED ANTITRUST
 HORROR REIGN
 IGBY MAKER
 ITALIAN AFRICAN
 KICK SAVANNAH
 LEATHERNECKS DWARFS
 LIAISONS SWEET
 LOCK REAR
 MADIGAN DORADO
 MOULIN WAKE
 MUSCLE BRIGHT
 ORDER BETRAYED
 OTHERS SOUP
 OUTLAW HANKY
 PAPI NECKLACE
 SHANE DARKNESS
 SHANGHAI TYCOON
 SHAWSHANK BUBBLE
 SHINING ROSES
 SMILE EARRING
 SPEED SUIT
 STONE FIRE
 SUPERFLY TRIP
 SWEET BROTHERHOOD
 TEEN APOLLO
 TOMATOES HELLFIGHTERS
 TRAFFIC HOBBIT
 TROUBLE DATE
 VALENTINE VANISHING
 WINDOW SIDE
 WOLVES DESIRE
 WORKER TARZAN
 WORKING MICROCOSMOS
(57 rows)
